question,answer,normalized_aliases,correctness
Which was the first non-capital city after the second World War to stage the Summer Olympic Games?,"1984 Los Angeles
","['bids for 1956 summer olympics', '1956 melbourne olympics', 'melbourne 1956', 'melbourne olympic games', '1956 summer olympics', '1956 summer games', 'games of xvi olympiad', '1956 summer olympic games', '1956 melbourne olympic games']",Incorrect
What virtual cricketing prize began in 1882 when Australia beat England by 7 runs?,"1st Ashes Test
","['ashes', '2017–18 ashes series', 'ashes cricket test', 'ashes trophy', 'ashes series']",Incorrect
The Bledisloe Cup is contested in Rugby Union between which two nations?," Australia and New Zealand
","['australasia', 'australasians', 'australasia continent', 'australia and new zealand', 'australiasia', 'austrailasia', 'australia new zealand', 'australia and new zealand subregion', 'austrailiasia', 'asia', 'australiasian']",Correct
What genus of flowering plants in the carnation family is also known as ‘baby’s breath’?," Gypsophila
","['baby s breath', 'gypsophila', 'gypsophylla']",Correct
"Sunday county cricket teams playing in the Norwich Union League now have given themselves nicknames, what is the nickname of Northants"," Steelbacks
",['steelbacks'],Correct
Which British prime minister resigned as a result of the Suez Crisis?," Anthony Eden
","['robert anthony eden 1st earl of avon viscount eden of royal leamington spa', 'antony eden', 'first earl of avon', 'anthony eden 1st earl of avon', 'sir anthony eden', 'robert anthony eden 1st earl of avon', 'sir robert anthony eden', '1st viscount eden', 'first viscount eden', 'tony eden', 'robert anthony eden', 'viscount eden of royal leamington spa', '1st earl of avon', 'robert anthony viscount eden of leamington', 'lord avon', 'viscount eden of leamington', 'anthony eden', 'robert anthony eden viscount eden of leamington']",Correct
"Located directly across the river Rhine from Wiesbaden is which city, the capital of the state of Rhineland- Palatinate?"," Mainz
","['music and audio institute of new zealand', 'mainz', 'tai poutini polytechnic']",Correct
"In Scandinavian mythology, who was the son of Odin that had a magic hammer called Miohir?"," Thor
","['þonar', 'hlóra', 'þór', 'þorr', 'þórr', 'þunraz', 'thor god', 'list of places named after thor', 'thunraz', 'thonar', 'thor s', 'red thor', 'hlora', 'thôr', 'thunaer', 'einridi', 'thunor', 'donar', 'red thórr', 'thorr', 'þunor', 'thor', 'þunaraz']",Correct
Which heavyweight boxing champion of 1915 shares the same surname as a current Manchester City player who has the squad number 11?," Joe Louis
","['johnsoe', 'johnson', 'johnson surname', 'johnson johnston surnames']",Incorrect
Which C S wrote The African Queen?," Forester
","['foresters', 'professional forester', 'forester', 'forester s lodge']",Correct
"Geographic features called rilles that come in sinuous, arcuate and straight types are a prominent part of the landscape where?"," The Moon's surface
","['moonless', 'earth and moon', 'lunar mass', 'luna satellite', '🌛', 'earth s moon', '☾', 'solar and lunar eclipses', 'terra i', 'moon earth', 'luna moon', 'moon like', '🌙', 'earth i', 'moonlike', 'sol iiia', 'satellite of earth', 'moon moon', 'pictures on moon', 'natural earth satellite', 'sol 3a', 'luna natural satellite', 'dorsa argand', 'lunarian', 'moon', 'moon distance from earth', '🌜', 'moonlikeness', 'moon likeness', 'earth s natural satellites', 'mass of moon', 'lunar radius', 'moon mass', '☽']",Incorrect
Under what name is the American singer/songwriter Barry Alan Pincus better known?," Barry Manilow
","['fanilow', 'barrie manilow', 'barry manilow', 'barry pincus', 'barry alan pincus', 'manilow']",Correct
"The Sonoran Desert, one of the world's largest, is situated in which country?"," Mexico
","['u s of america', 'u–s–', 'estatos unitos', 'amarica', 'america united states of', 'v s amerika', 'states of america', 'amurika', 'unitesd states', 'estados unidos de america', 'america', 'united states of america oldpage', 'america us', 'nited states', 'etats unis d amerique', 'united stated', 'verenigde state van amerika', 'america united states', 'merica', 'amurka', 'amurica', 'v s america', 'us', 'americophile', 'états unis d amérique', 'united states america', 'الولايات المتحدة الأمريكية', 'eeuu', 'amercia', 'united states of america u s', 'unitd states', 'us america', 'estados unidos', 'etymology of united states', 'america magazine', 'u s american', 'united states of america usa', 'united states of amerca', 'united states u s', 'us and', 'etats unis', 'untied states of america', 'united states introduction', 'america usa', 'u s of', 'iso 3166 1 us', 'federal united states', 'usofa', 'americia', 'untied states', 'america class', 'american united states', 'nagkaisang mga estado', 'estaos unios', 'vs america', 'united states', 'united states country', 'los estados unidos de america', 'los estados unidos de américa', 'america country', 'yankee land', 'usoa', 'u s', 'united states us', 'united states of america redirect', 'vereinigte staaten', 'estados unidos de américa', 'ee uu', 'unites states', 'stati uniti d america', 'los estados unidos', 'estaos uníos', 'amerka', 'us country', 'usa', 'unitedstates', 'unite states of america', 'états unis', 'united state of america', 'united staets of america', 'us of', 'unites states of america', 'united sates', 'u–s', 'name of united states', 'u s america', 'us of america', 'u –s –', 'united states of american', 'united states of america introduction', 'verenigde state', 'americaland', 'vs amerika', 'these united states of america', 'unite states', 'unietd states', 'united states of america', 'united–states', 'u –s']",Incorrect
"""The """"Authorised"""" English translation of the Bible was named after whom?"""," King James
","['james i of england', 'james vi of scotland and england', 'king james vi', 'king james vi i', 'james vi of scotland', 'king james i', 'james i of great britain', 'james vi scotland', 'james vi of scotland james i of england', 'king james first', 'james i', 'king james vi of scotland and i of england', 'king james vi of scotland', 'james vi of england', 'james vi king of scots', 'james i king of england', 'james vi i', 'king james i of england', 'james vi of scotland and i of england', 'seumas vi of scotland', 'james i of england and james vi of scotland', 'james vi and i', 'james i and vi', 'james i of england and vi of scotland', 'james 6th', 'james i of uk', 'king james vi and i', 'james i of united kingdom', 'james i of ireland', 'wisest fool in christendom', 'james i england', 'james i of england scotland and irerland', 'james i of wales', 'james king of england ireland and scotland', 'wisest fool', 'king james i of england and vi of scotland', 'james vi', 'james i of england scotland and ireland', 'james first']",Incorrect
"Juan Manuel Fangio, Mario Andretti, James Hunt and Niki Lauda were world champions in which sport?"," Motor Racing
","['fórmula 1', 'f1 world championships', 'fia formula one world championship', 'formula one championship', 'f1 racing', 'f1 world championship', 'formula 1 world championship', 'f1', 'fia world championship', 'formula 1', 'f 1', 'fia world championships', 'formula1', 'thai grand prix', 'world championship of drivers', 'formula one world championship', 'formula one champion', 'formuli 1', 'formula1 com', 'constructors formula one', 'formel 1', 'formula one', '2018 formula one season']",Incorrect
Which of the United States was the first to give women the vote?," Wyoming
","['symbols of state of wyoming', 'demographics of wyoming', 'wioming', 'government of wyoming', 'wyoming state', 'wyoming united states', 'religion in wyoming', 'economy of wyoming', 'us wy', 'climate of wyoming', 'constitution of state of wyoming', '44th state', 'geography of wyoming', 'transport in wyoming', 'wyoming', 'constitution of wyoming', 'education in wyoming', 'law and government of wyoming', 'wyoming economy', 'wyoming state symbols', 'wyoming state nickname', 'transportation in wyoming', 'wyomingite', 'state of wyoming', 'wyo', 'sports in wyoming', 'cowboy state', 'forty fourth state', 'wyoming metropolitan areas', 'wyoming state constitution', 'wyoming factsheet', 'wyoming counties', 'big wonderful wyoming', 'politics of wyoming', 'wyomingites', 'equality state', 'wyoming u s state']",Correct
A titi is what type of animal?," Monkey
","['munkee', 'simian monkey', 'monkey animal', 'cambodian monkey', '🐒', '🐵', 'monkei', 'baby monkeys', 'monkey', 'monkeys', 'monkies', 'monkey s', 'service monkey']",Correct
Which team were the last winners of football's First Division before the formation of the Premier League?," Leeds United
","['leeds united fc', 'leeds utd', 'l u f c', 'lufc', 'dirty leeds', 'lucas kop kat', 'leeds united f c', 'leeds united association football club', 'leeds united football club', 'leeds f c', 'leeds united television', 'leeds fc', 'luafc', 'leeds united academy', 'leeds united', 'leeds united afc']",Correct
On which Scottish island was John Smith the Labour Party leader buried," Lewis
","['hy island', 'isle of iona', 'baile mor', 'icolmkill', 'iona', 'baile mòr']",Incorrect
What is the name of the only British M.P. to be a member of the Green Party?," Caroline Lucas
","['caroline patricia lucas mep', 'caroline lucas', 'dr caroline patricia lucas', 'dr caroline lucas', 'caroline patricia lucas', 'caroline lucas mep', 'dr caroline lucas mep', 'dr caroline patricia lucas mep']",Correct
"Found in suitable habitat throughout Southeast Asia and Northern Australia, what is largest of all living reptiles?"," Saltwater crocodile
",['saltwater or estuarine crocodile'],Incorrect
The first untethered space walk took place from which space craft?,"1965 Gemini 4 mission
","['challenger', 'challengers', 'challenger disambiguation', 'challengers disambiguation', 'challenger album']",Incorrect
"In the 13th century French tales about 'Reynard the Fox', what is the name of the cockerel?"," Cockyolicos
",['chanticleer'],Incorrect
"On June 15, 1844, Charles Goodyear was granted a patent for the vulcanization of rubber, a process by which what element, represented by the symbol S, is added to rubber?"," Sulfur
","['sublimed sulfur', 'sulfurous', 'sulfer', 'element 16', 'beta sulphur', 'sulfurs', 'sulfur sulphur', 'sulvere', 'sulfur isotope', 'colloidal sulfur', 'sulphur', 'brimstone sulfur', 'flower of sulfur', 'native sulfur', 'sulpher', 'sulphurously', 'wettable sulphur', 'sulphurs', 'sulphurous', 'sulfur', 'sulfur atom', 'atcvet code qd10ab02', 'sulpur', 'sulfurously', 'sulfur pharmacy', 'sulfur compounds', 'sulfurically', 'beta sulfur', 'precipitated sulfur', 'sulphur compounds', 'atc code d10ab02', 'purified sulfur', 'sulfur bearing', '🜍', 'sulphurically', 'liquid sulphur', 'sulphur compound', 'sulphuric', 'sulfuric']",Correct
Who composed the New World Symphony," Dvorak
","['dvorakova', 'dvořák disambiguation', 'dworzak', 'dvorschák', 'dvoržak', 'dvorschak', 'dworak', 'dvořáková', 'dvorak', 'dvorak disambiguation', 'dworschak', 'dvorzak']",Correct
What is the southernmost state capital?," Honolulu
","['honululu', 'honululu hawaii', 'honolulu ccd', 'honolulu hawai i', 'pacific honolulu', 'honolulu hawaii united states', 'city of honolulu', 'history of honolulu', 'honolulu usa', 'honolulu hawaii', 'honolulu district', 'honolulu urbanized area', 'honolulu area rail rapid transit', 'honolulu cdp', 'capital of hawaii', 'un locode ushnl', 'honolulu united states', 'honolulu hi msa', 'honolulu hawaii usa', 'honolulu', 'city of honolulu hawaii', 'honolulu hawa ii', 'honolulu oahu', 'honolulu hi']",Correct
"If Germany is 49 and the United Kingdom is 44, then what number is France?","33
","['thirty three', '33']",Correct
Masala wine is produced on which European island?," Cyprus
","['sicily', 'sicilia', 'sicilly', 'island of sicily', 'trinacrian', 'sicily italy', 'jewel of mediterranean']",Incorrect
A mummichog is what type of creature?," Fish
","['🐟', 'finfish', 'marine fish', 'fishes or fish', 'fisshes', 'sick fish', 'ichthyofauna', 'fishbones', 'fishes', 'inchthyic', 'fush', 'fish vs fishes', 'fishes versus fish', 'fish proteins', 'fish or fishes', 'fish', 'fish biology', 'piscines', 'ichthyoid', 'fin fish', 'fish versus fishes', 'ichthyes', 'fish venoms', 'pisces zoology', 'fish zoology']",Correct
Which country hosted the 1994 FIFA World Cup?," USA
","['u s of america', 'u–s–', 'estatos unitos', 'amarica', 'america united states of', 'v s amerika', 'states of america', 'amurika', 'unitesd states', 'estados unidos de america', 'america', 'united states of america oldpage', 'america us', 'nited states', 'etats unis d amerique', 'united stated', 'verenigde state van amerika', 'america united states', 'merica', 'amurka', 'amurica', 'v s america', 'us', 'americophile', 'états unis d amérique', 'united states america', 'الولايات المتحدة الأمريكية', 'eeuu', 'amercia', 'united states of america u s', 'unitd states', 'us america', 'estados unidos', 'etymology of united states', 'america magazine', 'u s american', 'united states of america usa', 'united states of amerca', 'united states u s', 'us and', 'etats unis', 'untied states of america', 'united states introduction', 'america usa', 'u s of', 'iso 3166 1 us', 'federal united states', 'usofa', 'americia', 'untied states', 'america class', 'american united states', 'nagkaisang mga estado', 'estaos unios', 'vs america', 'united states', 'united states country', 'los estados unidos de america', 'los estados unidos de américa', 'america country', 'yankee land', 'usoa', 'u s', 'united states us', 'united states of america redirect', 'vereinigte staaten', 'estados unidos de américa', 'ee uu', 'unites states', 'stati uniti d america', 'los estados unidos', 'estaos uníos', 'amerka', 'us country', 'usa', 'unitedstates', 'unite states of america', 'états unis', 'united state of america', 'united staets of america', 'us of', 'unites states of america', 'united sates', 'u–s', 'name of united states', 'u s america', 'us of america', 'u –s –', 'united states of american', 'united states of america introduction', 'verenigde state', 'americaland', 'vs amerika', 'these united states of america', 'unite states', 'unietd states', 'united states of america', 'united–states', 'u –s']",Correct
