question,answer,normalized_aliases
"""What Wild West figure is described on his New Mexico tombstone as """"The Boy Bandit King"""""""," Billy the Kid
","['william h bonney', 'william henry mccarty', 'willam h bonney', 'billy kid s jailbreak', 'henry antrim', 'william henry bonney', 'bill bonney', 'john miller false billy kid', 'john miller outlaw', 'john miller billy kid claimant', 'billy kid', 'billie kid', 'william h bonnie', 'henry mccarty', 'william bonney', 'william bonnie']"
Who founded Microsoft in 1975 with Bill Gates?," Paul Allen
","['kiha software', 'paul allen s house', 'paul allen', 'paul gardner allen', 'paul g allen', 'allen paul']"
"""Who owns Springfield's local tavern in """"The Simpsons""""?""","20th Century Fox
","['moe syszlak', 'moe syslak', 'kid moe', 'mo szyslak', 'szyslak', 'moe syzlak', 'bart simpson prank calls', 'moe syzlack', 'moe bartender', 'moe simpsons', 'simpsons moe szyslak', 'bart s prank calls', 'moe syslack', 'morris szyslak', 'syzlak', 'moe szyslak']"
Which 'Lady Gaga' hit was the UK's best selling single of 2009?,"3x!
","['poker face', 'poker face disambiguation', 'pokerface', 'poker face song', 'poker face single']"
Which country's top tier soccer league has teams called Helsingborgs IF and Kalmar FF?," Sweden
","['ulf bergman', 'swea region', 'swedish origin', 'swedish climate', 'kingdom of sweden', 'sveden', 'suecia', 'swedish realm', 'zweden', 'iso 3166 1 se', 'mainland sweden', 'konungariket sverige', 'schweden', 'sweden', 'sverige', 'swedish sin', 'climate of sweden', 'etymology of sweden']"
"October 27, 1858 saw the birth of what totally bad assed US president, the 26th, who spent time as a South Dakota rancher before becoming assistant Secretary of the Navy in 1899?"," Theodore Roosevelt
","['t ros', 'cowboy president', 'theodore roosavelt', 'trust buster', 'president theodore roosevelt', 'teddy roosvelt', 'teddy rosevelt', 't roosevelt', 'roosevelt theodore', 'feddy roosevelt', 'cowboy of dakotas', 'teddy rose', '26th president of united states', 'teddy roosevelt foreign policy', 'teddy roose', 'teodoro roosevelt', 'theodore roosevelt', 'theodor roosevelt', 't roosevelt administration', 'teddy roosevelt']"
Who was the only female competitor in the 1976 Montreal Olympics not to have been subjected to a sex test?,"100m runner
","['anne elizabeth alice louise', 'hrh princess royal', 'anne princess royal of united kingdom', 'anne windsor princess royal', 'princess anne princess royal', 'anne h r h princess royal', 'princess anne', 'hrh princess anne', 'princess royal', 'anne elizabeth alice windsor', 'anne princess royal', 'princess royal princess anne', 'anne windsor', 'anne mountbatten']"
The budgerigar is native to which country?," Australia
","['australie', 'orstraya', 'federal australia', 'australias', 'empire of australia', 'modern australia', 'asutralia', 'iso 3166 1 au', 'australien', 'australia country', 'australia federation', 'austraila', 'country life in australia', 'philosophy in australia', 'australlia', 'continental australia', 'pax australiana', 'austrlaia', 'australia dominion', 'australian woman s day', 'australia monarchy', 'australia', 'australian country life', 'united states of australia', 'mainland australia', 'australia commonwealth', 'austalia', 'australija', 'australocentric', 'peace of australia', 'australia realm', 'ostralia', 'australocentrist', 'australian geopolitics', 'australia nation', 'australia commonwealth realm', 'australian', 'australian city life', 'australia empire', 'austraya', 'australiia', 'geopolitics of australia', 'australo', 'technology in australia', 'ausrtalia', 'australai', 'australia nation state', 'science in australia', 'dominion of australia', 'commonwealth of australia', 'australia state', 'aussieland', 'australian mainland', 'australian s', 'imperial australia', 'austrailia', 'city life in australia', 'austrlia', 'commonwealth australia', 'straya', 'australocentrism', 'australia s', 'australia constitutional monarchy', 'etymology of australia', 'australian commonwealth', 'new australian']"
"""Who is the actress, daughter of Princess Elizabeth of Yugoslavia who played Amanda Carrington, nee Bedford in """"Dynasty""""?"""," Joan Collins
","['catharine oxenberg', 'catherine oxenberg', 'catherine oxenburg']"
How many years is a megaannum?,"1,000,000
","['1050623', 'million', 'multi million', '1 e6', '1048576 number', '999 999 number', '1000000', 'ten lakh', '3628800 number', '1 000 000 number', '1000003', '10 to power of 6', '1046527', '10⁶', '1e6', '1 000 000', '1000000 number', '1 million', 'one million', 'multimillion']"
Who was the Roman Emperor at the time of Christ's crucifixion?,"30s
","['tiberius caesar dīvī augustī fīlius augustus', 'tiberius claudius nero caesar', 'tiberius julius caesar', 'tiberias caesar', 'tiberius caesar', 'tiberius julius caesar augustus', 'tiberius caesar augustus', 'emperor tiberius', 'tiberius claudius nero caesar augustus', 'tiberius']"
Talc is the softest mineral listed on the Mohs scale of hardness. It is given a value of 1. Diamond is the hardest. What number is it given?,"10
","['10', 'ten']"
"With 40 members in the 'Vece Republika' (Chamber of the Republics) and 138 members in the 'Vece Gradjana' (Chamber of Citizens), the Skupstina SRJ was the parliamentof which Central European country?"," Serbia
","['jugoslavija', 'yugoslavia history', 'history of yugoslavia', 'yougoslavia', 'yugo', 'yugoslavia', 'yugosphere', 'yugosalvia', 'iso 3166 1 yu', 'demographics of former yugoslavia', 'exyu', 'jugoslavije', 'changes in yugoslavian religious demographics', 'yugosavia', 'serboslavia', 'north yugoslavia', 'south slavia', 'југославија', 'ex yugoslav', 'jugo slavia', 'fyr', 'northern yugoslavia', 'jugoslavia', 'ex yu']"
What is the usual name for the animal sometimes called a glutton?,"100-pound pig
","['wolwerine', 'quiquehatch', 'wolverene', 'guloninae', 'gulo gulo', 'järv', 'wolverines', 'skunk bear', 'quickhatch', 'jarv', 'gulo', 'jaerv', 'wolverine fur', 'wolveriene', 'gulo gulo luscus', 'wolverine', 'wolverine animal', 'european wolverine']"
"On July 5, 1996, scientists from the Roslin Institute near Edinburgh, Scotland, created Dolly, the first cloned mammal. What type of animal was she?","100% identical to her mother
","['sheep domestic', 'agnine', 'sheep sounds', '🐑', '🐏', 'domesticated sheep', 'persian lamb', 'ovis orientalis aries', 'ram sheep', 'domestic sheep', 'ovine', 'sheep description', 'domestic ewe', 'domestic ram', 'yorkshire leicester', 'ovis aries', 'sheeps', 'feral sheep', 'yowe', 'sheep', 'bleat']"
"What is the title of the 1999 film, starring Brad Pitt and Edward Norton, which was adapted from Chuck Palahniuk’s 1996 novel?"," Fight Club
","['fightclub', 'fight club movie', 'fight club soundtrack', 'fight club 1999 film', 'fight club', 'fight club book vs film', 'fight club film']"
Making a U-turn results in a change of direction of how many degrees?,"180
","['one hundred and eighty', '180']"
"Soft, Rigid Gas Permeable and Plano are all types of what?"," Contact lenses
","['contact lens solutions', 'hioxifilcon d', 'contact lens', 'rgp contact lenses', 'contact lens prescription', 'contact lense', 'thoric lens', 'contact lenses', 'multifocal contact lens', 'colored contact lenses', 'disposable contact lens lid', 'monovision', 'contacts', 'colored contact lens', 'piggybacked contact lens', 'corneal neutralization']"
In Thomas Hardy's novels Casterbridge is based on which real town or city?," Dorchester
","['dorchester', 'dorchester disambiguation']"
Which rank in the Royal Navy is the equivalent of an army brigadier?,"2nd Sea Lord
","['commodore hornblower', 'commodore']"
What is the medical name for the large intestine of the human body?,"1000
","['colon', 'colones', 'colons', 'colon disambiguation']"
Who won the Oscar for Best Director at the 2010 awards?,"12 Years A Slave
","['katheryn bigelow', 'kathryn bigelow', 'kathryn ann bigelow', 'katherine bigelow']"
Which team held on to the European Cup for the fifth consecutive year in 1960?," Real Madrid
","['real madrid c f', 'los blancos', 'real madrid statistics 2005 06', 'supporters of real madrid c f', 'real madrid cf', 'real madrid f c', 'madrid cf', 'real madrid captains', 'real madrid fc', 'realmadrid com', 'royal madrid', 'real madrid club de futbol', 'real madrid', 'sociedad madrid foot ball club', 'rmcf', 'madrid fc', 'real madrid club de fútbol']"
What flavour is the liqueur Creme de Noyaux?,"20
","['almond tree', 'almond bitter oil', 'prunus amygdalus dulcis', 'almendrado', 'marcona almonds', 'almond oil', 'luz nut', 'almond trees', 'oil of bitter almond', 'oleum amygdalae', 'almond', 'amygdalus fragilis', 'prunus amygdalus', 'baadaam', 'bitter almond', 'mandel nut', 'almonds', 'amygdalus communis', 'badam', 'bitter almonds', 'sweet almond oil', 'almond extract', 'amygdalus sativa', 'amygdalus dulcis', 'oil of bitter almonds', 'prunus dulcis', 'لوز', 'marcona almond', 'almond syrup', 'amygdalus amara', 'druparia amygdalus', 'toasted almond']"
What was the surname of the British father and son who shared the Nobel Prize for physics in 1915?," Wilson
","['bragg', 'bragg disambiguation']"
"When Great Britain beat the USA in the Davis Cup in March 2015, who was the other British singles player besides Andy Murray?","1) Kyle Edmund 2) James Ward 3) Dan Evans 4) Jamie Murray
","['jim ward disambiguation', 'jimmy ward disambiguation', 'james ward', 'james ward disambiguation', 'jim ward', 'james thomas ward']"
Which team beat Australia 34 - 20 in the Rugby League World Cup final in 2008?,"2008 New Zealand Kiwis
","['newzealand', 'new zealand', 'aotearoa', 'kiwistan', 'new zeland', 'staten land', 'staten landt', 'neo zealand', 'new zeeland', 'mew zealand', 'new zealand s', 'new zealend', 'iso 3166 1 nz', 'nova zeelandia', 'aotearoa new zealand', 'nu tirani', 'subdivisions of new zealand', 'n zealand', 'new zealnd', 'new zealnad', 'new xealand', 'administrative divisions of new zealand', 'maoriland', 'nzl', 'niu tireni', 'new z', 'its got that new zeal', 'n z', 'name of new zealand', 'enzed', 'nz', 'new zaeland', 'new zelanad', 'sheepland', 'etymology of new zealand', 'kiwiland', 'māoria', 'staaten land', 'nouvelle zelande']"
Which Andre built the first factory to mass-produce rubber tires?," Michelin
","['michelin tire company', 'michelin cgde b brown', 'compagnie générale des établissements michelin', 'michelin group', 'kleber tire', 'michelin tires', 'michelin', 'michelin et cie', 'compagnie generale des etablissements michelin', 'michilen']"
Wallachia is a region of which country?," Romania
","['danubian carpathian area', 'roumania', 'austro hungarian empire romania', 'romania', 'rromania', 'iso 3166 1 ro', 'rou', 'country rom', 'ro country', 'rumunia', 'romainia', 'rumänien', 'etymology of romania', 'north danubian region', 'romînia', 'rumania', 'romanian state', 'carpathian danubian space', 'românia', 'republic of romania', 'roumanie']"
How many time zones does Brazil have?,"4
","['three', '3']"
"What type of design was used for London's Millennium Footbridge across the Thames, that opened on 10 June 2000?","220-foot-long pedestrian walkway
",['steel suspension bridge']
Thorpe Station is in which English city?," Birmingham
","['norwich', 'lord mayor of norwich', 'norwich norfolk', 'norwich uk', 'norwich east anglia', 'un locode gbnrw', 'norwich england', 'naarwich', 'county borough of norwich', 'norwich united kingdom']"
What is at the bottom of the ocean's food chain?,"1
","['planktonic', 'planktoculture', 'plankter', 'plankton', 'oceanic microorganism', 'ocean microorganism', 'nanoplankton', 'microplankton', 'plankters', 'nannoplankton', 'planktic', 'plancton', 'marine microbial', 'marine microorganism', 'oceanic microbial']"
"Complete the quote: A man, a plan, a canal, ..."," Panama
",['panama']
What unit of measurement is used to measure speed on a boat?,"1 knot = 1 nautical mile per hour
","['knot', 'end knot', 'capsize knot', 'coil knots', 'nodation', 'trick knot', 'knot components', 'knots', 'knot tying', 'list of trick knots', 'knots and ropework', 'knot component', 'list of coil knots', 'standing part', 'knotting', 'knotwork', 'coil knot', 'working end']"
Ascot Gavotte and I've Grown Accustomed to Her Face are songs from which film?,"1968 My Fair Lady
","['my fair lady musical', 'my fair lady', 'my fair lady 2010 film', 'why can t english 3f', 'my fair lady upcoming film', 'my fair lady 2012 film', 'my fair lady 2014 film', 'my fair lady 2015 film', 'i m ordinary man', 'enry iggins']"
From 2010 to 2012 a series of major earthquakes devastated areas in the South Island of which country?," New Zealand
","['newzealand', 'new zealand', 'aotearoa', 'kiwistan', 'new zeland', 'staten land', 'staten landt', 'neo zealand', 'new zeeland', 'mew zealand', 'new zealand s', 'new zealend', 'iso 3166 1 nz', 'nova zeelandia', 'aotearoa new zealand', 'nu tirani', 'subdivisions of new zealand', 'n zealand', 'new zealnd', 'new zealnad', 'new xealand', 'administrative divisions of new zealand', 'maoriland', 'nzl', 'niu tireni', 'new z', 'its got that new zeal', 'n z', 'name of new zealand', 'enzed', 'nz', 'new zaeland', 'new zelanad', 'sheepland', 'etymology of new zealand', 'kiwiland', 'māoria', 'staaten land', 'nouvelle zelande']"
